  cell  ,E,W,N,S
"(1, 1)",0,0,0,1
"(2, 1)",1,0,1,0
"(3, 1)",1,0,0,1
"(4, 1)",1,0,1,0
"(5, 1)",1,0,0,1
"(6, 1)",1,0,1,1
"(7, 1)",0,0,1,1
"(8, 1)",0,0,1,1
"(9, 1)",0,0,1,1
"(10, 1)",0,0,1,1
"(11, 1)",1,0,1,0
"(12, 1)",1,0,0,1
"(13, 1)",1,0,1,1
"(14, 1)",1,0,1,1
"(15, 1)",0,0,1,1
"(16, 1)",0,0,1,1
"(17, 1)",0,0,1,0
"(18, 1)",1,0,0,1
"(19, 1)",1,0,1,1
"(20, 1)",0,0,1,1
"(21, 1)",1,0,1,0
"(22, 1)",1,0,0,0
"(23, 1)",1,0,0,1
"(24, 1)",0,0,1,1
"(25, 1)",0,0,1,1
"(26, 1)",1,0,1,1
"(27, 1)",0,0,1,1
"(28, 1)",1,0,1,1
"(29, 1)",0,0,1,1
"(30, 1)",0,0,1,0
"(31, 1)",1,0,0,1
"(32, 1)",1,0,1,1
"(33, 1)",0,0,1,1
"(34, 1)",0,0,1,1
"(35, 1)",0,0,1,1
"(36, 1)",1,0,1,0
"(37, 1)",0,0,0,1
"(38, 1)",0,0,1,1
"(39, 1)",0,0,1,1
"(40, 1)",0,0,1,1
"(41, 1)",1,0,1,1
"(42, 1)",1,0,1,0
"(43, 1)",1,0,0,1
"(44, 1)",0,0,1,1
"(45, 1)",1,0,1,0
"(46, 1)",1,0,0,1
"(47, 1)",0,0,1,0
"(48, 1)",1,0,0,1
"(49, 1)",1,0,1,1
"(50, 1)",0,0,1,1
"(51, 1)",1,0,1,0
"(52, 1)",1,0,0,1
"(53, 1)",0,0,1,1
"(54, 1)",1,0,1,0
"(55, 1)",1,0,0,1
"(56, 1)",0,0,1,1
"(57, 1)",0,0,1,1
"(58, 1)",0,0,1,1
"(59, 1)",0,0,1,1
"(60, 1)",1,0,1,0
"(61, 1)",1,0,0,1
"(62, 1)",1,0,1,0
"(63, 1)",1,0,0,1
"(64, 1)",0,0,1,1
"(65, 1)",1,0,1,0
"(66, 1)",0,0,0,1
"(67, 1)",1,0,1,0
"(68, 1)",1,0,0,1
"(69, 1)",1,0,1,0
"(70, 1)",1,0,0,1
"(71, 1)",0,0,1,1
"(72, 1)",1,0,1,1
"(73, 1)",0,0,1,1
"(74, 1)",0,0,1,1
"(75, 1)",1,0,1,0
